ts,venue,market,description,bid,ask,bid_size,ask_size
2026-06-01T13:31:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3495,0.3817,169,212
2026-06-01T13:31:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2871,0.3158,295,53
2026-06-01T13:31:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3772,0.4284,66,230
2026-06-01T13:31:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3489,0.3779,174,54
2026-06-01T13:31:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2872,0.3143,150,103
2026-06-01T13:31:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3867,0.4179,59,137
2026-06-01T13:31:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3475,0.3862,49,64
2026-06-01T13:31:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2796,0.3217,87,223
2026-06-01T13:32:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3912,0.4199,52,194
2026-06-01T13:32:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3472,0.3811,111,135
2026-06-01T13:32:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2838,0.3112,130,162
2026-06-01T13:32:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.387,0.4273,102,288
2026-06-01T13:32:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3486,0.3858,158,182
2026-06-01T13:32:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.283,0.3089,55,280
2026-06-01T13:32:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.39,0.424,42,147
2026-06-01T13:32:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3506,0.3856,66,71
2026-06-01T13:32:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2794,0.314,74,63
2026-06-01T13:32:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3897,0.4241,179,84
2026-06-01T13:32:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3436,0.3851,176,152
2026-06-01T13:32:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2758,0.3187,59,151
2026-06-01T13:32:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3964,0.4241,173,125
2026-06-01T13:32:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3544,0.3826,125,294
2026-06-01T13:32:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2822,0.3083,156,74
2026-06-01T13:32:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3894,0.4222,285,82
2026-06-01T13:32:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3509,0.3763,169,26
2026-06-01T13:32:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.286,0.3119,64,155
2026-06-01T13:33:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3958,0.4265,172,252
2026-06-01T13:33:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3493,0.383,36,79
2026-06-01T13:33:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2802,0.3279,120,200
2026-06-01T13:33:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3927,0.4293,286,66
2026-06-01T13:33:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3466,0.3815,287,281
2026-06-01T13:33:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2867,0.3217,246,32
2026-06-01T13:33:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3998,0.4305,283,222
2026-06-01T13:33:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3449,0.38,139,105
2026-06-01T13:33:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2912,0.3176,126,130
2026-06-01T13:33:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3962,0.4366,33,123
2026-06-01T13:33:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.346,0.3868,146,283
2026-06-01T13:33:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2899,0.3176,254,37
2026-06-01T13:33:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3998,0.4409,179,260
2026-06-01T13:33:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3524,0.3871,97,116
2026-06-01T13:33:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2877,0.3184,125,202
2026-06-01T13:33:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.408,0.4337,34,195
2026-06-01T13:33:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3599,0.3885,125,77
2026-06-01T13:33:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2837,0.3145,169,280
2026-06-01T13:34:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.409,0.4371,236,220
2026-06-01T13:34:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.358,0.3916,30,189
2026-06-01T13:34:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2868,0.3167,282,245
2026-06-01T13:34:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4066,0.4414,105,30
2026-06-01T13:34:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3669,0.3928,157,30
2026-06-01T13:34:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2868,0.318,267,203
2026-06-01T13:34:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4103,0.4383,133,184
2026-06-01T13:34:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3545,0.3891,190,129
2026-06-01T13:34:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2848,0.3197,250,83
2026-06-01T13:34:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4035,0.4435,226,128
2026-06-01T13:34:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3608,0.3974,157,65
2026-06-01T13:34:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2769,0.3133,97,137
2026-06-01T13:34:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4071,0.4401,98,143
2026-06-01T13:34:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3591,0.4018,113,125
2026-06-01T13:34:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2797,0.3125,136,65
2026-06-01T13:34:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4083,0.4467,138,52
2026-06-01T13:34:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3651,0.3947,186,223
2026-06-01T13:34:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2779,0.3166,285,289
2026-06-01T13:35:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4102,0.4414,71,36
2026-06-01T13:35:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3649,0.397,177,274
2026-06-01T13:35:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2768,0.3173,228,68
2026-06-01T13:35:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4158,0.4453,169,264
2026-06-01T13:35:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3719,0.397,58,138
2026-06-01T13:35:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2766,0.317,84,286
2026-06-01T13:35:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.417,0.4483,26,104
2026-06-01T13:35:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3718,0.3983,153,83
2026-06-01T13:35:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2782,0.3127,176,28
2026-06-01T13:35:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4186,0.4467,269,43
2026-06-01T13:35:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3688,0.3957,196,265
2026-06-01T13:35:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2807,0.3135,27,261
2026-06-01T13:35:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4134,0.4589,93,258
2026-06-01T13:35:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3664,0.399,159,151
2026-06-01T13:35:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2802,0.3103,196,64
2026-06-01T13:35:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4174,0.449,27,25
2026-06-01T13:35:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3724,0.3982,58,58
2026-06-01T13:35:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2736,0.3158,196,147
2026-06-01T13:36:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4218,0.4476,286,289
2026-06-01T13:36:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.366,0.3982,145,34
2026-06-01T13:36:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2812,0.3097,31,180
2026-06-01T13:36:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4251,0.4514,112,136
2026-06-01T13:36:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3716,0.3995,246,136
2026-06-01T13:36:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2801,0.3058,243,155
2026-06-01T13:36:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4164,0.4529,259,264
2026-06-01T13:36:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3707,0.3987,271,37
2026-06-01T13:36:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2814,0.3091,196,67
2026-06-01T13:36:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4226,0.4505,74,172
2026-06-01T13:36:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3715,0.4015,92,284
2026-06-01T13:36:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2844,0.312,125,97
2026-06-01T13:36:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4233,0.4551,193,295
2026-06-01T13:36:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3698,0.3962,287,152
2026-06-01T13:36:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2805,0.3222,53,88
2026-06-01T13:36:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4215,0.4519,241,92
2026-06-01T13:36:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3617,0.4043,113,183
2026-06-01T13:36:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2849,0.315,81,98
2026-06-01T13:37:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4156,0.4452,265,212
2026-06-01T13:37:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3644,0.4009,263,117
2026-06-01T13:37:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.284,0.3103,142,28
2026-06-01T13:37:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4126,0.4402,25,67
2026-06-01T13:37:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.371,0.4011,226,30
2026-06-01T13:37:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2907,0.3167,288,280
2026-06-01T13:37:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.3968,0.4392,78,58
2026-06-01T13:37:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3724,0.3995,107,77
2026-06-01T13:37:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2863,0.3124,294,204
2026-06-01T13:37:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.406,0.4339,273,189
2026-06-01T13:37:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3714,0.3985,179,206
2026-06-01T13:37:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2827,0.3151,38,267
2026-06-01T13:37:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4012,0.4302,149,95
2026-06-01T13:37:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3704,0.3975,48,45
2026-06-01T13:37:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2798,0.318,177,266
2026-06-01T13:37:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4052,0.4305,213,52
2026-06-01T13:37:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3698,0.3967,283,92
2026-06-01T13:37:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2875,0.3137,225,108
2026-06-01T13:38:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4057,0.4333,157,231
2026-06-01T13:38:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3647,0.4007,130,127
2026-06-01T13:38:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2856,0.319,203,226
2026-06-01T13:38:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4023,0.4447,94,122
2026-06-01T13:38:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3618,0.3988,123,42
2026-06-01T13:38:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2813,0.3179,183,35
2026-06-01T13:38:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4167,0.4466,237,24
2026-06-01T13:38:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3671,0.3977,56,64
2026-06-01T13:38:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2843,0.319,218,232
2026-06-01T13:38:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4113,0.4463,64,260
2026-06-01T13:38:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3668,0.4035,26,91
2026-06-01T13:38:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2863,0.3121,159,56
2026-06-01T13:38:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.406,0.4461,168,257
2026-06-01T13:38:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3656,0.3977,45,276
2026-06-01T13:38:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2856,0.3185,219,283
2026-06-01T13:38:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4109,0.4378,153,148
2026-06-01T13:38:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3655,0.3967,285,51
2026-06-01T13:38:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2837,0.3155,247,53
2026-06-01T13:39:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4088,0.4458,266,245
2026-06-01T13:39:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3733,0.4025,249,249
2026-06-01T13:39:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2845,0.3106,294,101
2026-06-01T13:39:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4127,0.4428,69,105
2026-06-01T13:39:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3752,0.4022,60,53
2026-06-01T13:39:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2782,0.3165,172,288
2026-06-01T13:39:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.404,0.4395,31,227
2026-06-01T13:39:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3722,0.4041,195,131
2026-06-01T13:39:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2805,0.308,116,238
2026-06-01T13:39:30+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4054,0.432,293,139
2026-06-01T13:39:30+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3736,0.4016,78,90
2026-06-01T13:39:30+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2783,0.3057,231,63
2026-06-01T13:39:40+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4038,0.4321,40,68
2026-06-01T13:39:40+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3641,0.4036,49,203
2026-06-01T13:39:40+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2765,0.3171,156,270
2026-06-01T13:39:50+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4033,0.4388,231,106
2026-06-01T13:39:50+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3662,0.4028,70,68
2026-06-01T13:39:50+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2773,0.3172,180,274
2026-06-01T13:40:00+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4019,0.4408,58,163
2026-06-01T13:40:00+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3686,0.3987,211,80
2026-06-01T13:40:00+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2862,0.3186,215,48
2026-06-01T13:40:10+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.4039,0.4429,232,37
2026-06-01T13:40:10+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3723,0.4027,42,45
2026-06-01T13:40:10+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2851,0.3142,122,61
2026-06-01T13:40:20+00:00,kalshi,KX_BIRDFLU_US_2026,Will US bird flu reports exceed threshold by Dec 2026?,0.405,0.4457,63,260
2026-06-01T13:40:20+00:00,polymarket,PM_HEATWAVE_EU_2026,Will Europe record a severe heatwave in July 2026?,0.3731,0.3987,75,291
2026-06-01T13:40:20+00:00,polymarket,PM_HURRICANE_FL_2026,Will a named hurricane make Florida landfall in 2026?,0.2773,0.3157,184,217
